DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
26,KVY,kvyat,toro_rosso,10.0,Canadian Grand Prix,7,2019
55,SAI,sainz,mclaren,11.0,Canadian Grand Prix,7,2019
11,PER,perez,racing_point,12.0,Canadian Grand Prix,7,2019
99,GIO,giovinazzi,alfa,13.0,Canadian Grand Prix,7,2019
8,GRO,grosjean,haas,14.0,Canadian Grand Prix,7,2019
7,RAI,raikkonen,alfa,15.0,Canadian Grand Prix,7,2019
63,RUS,russell,williams,16.0,Canadian Grand Prix,7,2019
20,MAG,kevin_magnussen,haas,17.0,Canadian Grand Prix,7,2019
88,KUB,kubica,williams,18.0,Canadian Grand Prix,7,2019
23,ALB,albon,toro_rosso,19.0,Canadian Grand Prix,7,2019
4,NOR,norris,mclaren,20.0,Canadian Grand Prix,7,2019
44,HAM,hamilton,mercedes,1.0,French Grand Prix,8,2019
77,BOT,bottas,mercedes,2.0,French Grand Prix,8,2019
16,LEC,leclerc,ferrari,3.0,French Grand Prix,8,2019
33,VER,max_verstappen,red_bull,4.0,French Grand Prix,8,2019
5,VET,vettel,ferrari,5.0,French Grand Prix,8,2019
55,SAI,sainz,mclaren,6.0,French Grand Prix,8,2019
7,RAI,raikkonen,alfa,7.0,French Grand Prix,8,2019
27,HUL,hulkenberg,renault,8.0,French Grand Prix,8,2019
4,NOR,norris,mclaren,9.0,French Grand Prix,8,2019
10,GAS,gasly,red_bull,10.0,French Grand Prix,8,2019
3,RIC,ricciardo,renault,11.0,French Grand Prix,8,2019
11,PER,perez,racing_point,12.0,French Grand Prix,8,2019
18,STR,stroll,racing_point,13.0,French Grand Prix,8,2019
26,KVY,kvyat,toro_rosso,14.0,French Grand Prix,8,2019
23,ALB,albon,toro_rosso,15.0,French Grand Prix,8,2019
99,GIO,giovinazzi,alfa,16.0,French Grand Prix,8,2019
20,MAG,kevin_magnussen,haas,17.0,French Grand Prix,8,2019
88,KUB,kubica,williams,18.0,French Grand Prix,8,2019
63,RUS,russell,williams,19.0,French Grand Prix,8,2019
8,GRO,grosjean,haas,20.0,French Grand Prix,8,2019
33,VER,max_verstappen,red_bull,1.0,Austrian Grand Prix,9,2019
16,LEC,leclerc,ferrari,2.0,Austrian Grand Prix,9,2019
77,BOT,bottas,mercedes,3.0,Austrian Grand Prix,9,2019
5,VET,vettel,ferrari,4.0,Austrian Grand Prix,9,2019
44,HAM,hamilton,mercedes,5.0,Austrian Grand Prix,9,2019
4,NOR,norris,mclaren,6.0,Austrian Grand Prix,9,2019
10,GAS,gasly,red_bull,7.0,Austrian Grand Prix,9,2019
55,SAI,sainz,mclaren,8.0,Austrian Grand Prix,9,2019
7,RAI,raikkonen,alfa,9.0,Austrian Grand Prix,9,2019
99,GIO,giovinazzi,alfa,10.0,Austrian Grand Prix,9,2019
11,PER,perez,racing_point,11.0,Austrian Grand Prix,9,2019
3,RIC,ricciardo,renault,12.0,Austrian Grand Prix,9,2019
27,HUL,hulkenberg,renault,13.0,Austrian Grand Prix,9,2019
18,STR,stroll,racing_point,14.0,Austrian Grand Prix,9,2019
23,ALB,albon,toro_rosso,15.0,Austrian Grand Prix,9,2019
8,GRO,grosjean,haas,16.0,Austrian Grand Prix,9,2019
26,KVY,kvyat,toro_rosso,17.0,Austrian Grand Prix,9,2019
63,RUS,russell,williams,18.0,Austrian Grand Prix,9,2019
20,MAG,kevin_magnussen,haas,19.0,Austrian Grand Prix,9,2019
88,KUB,kubica,williams,20.0,Austrian Grand Prix,9,2019
44,HAM,hamilton,mercedes,1.0,British Grand Prix,10,2019
77,BOT,bottas,mercedes,2.0,British Grand Prix,10,2019
16,LEC,leclerc,ferrari,3.0,British Grand Prix,10,2019
10,GAS,gasly,red_bull,4.0,British Grand Prix,10,2019
33,VER,max_verstappen,red_bull,5.0,British Grand Prix,10,2019
55,SAI,sainz,mclaren,6.0,British Grand Prix,10,2019
3,RIC,ricciardo,renault,7.0,British Grand Prix,10,2019
7,RAI,raikkonen,alfa,8.0,British Grand Prix,10,2019
26,KVY,kvyat,toro_rosso,9.0,British Grand Prix,10,2019
27,HUL,hulkenberg,renault,10.0,British Grand Prix,10,2019
4,NOR,norris,mclaren,11.0,British Grand Prix,10,2019
23,ALB,albon,toro_rosso,12.0,British Grand Prix,10,2019
18,STR,stroll,racing_point,13.0,British Grand Prix,10,2019
63,RUS,russell,williams,14.0,British Grand Prix,10,2019
88,KUB,kubica,williams,15.0,British Grand Prix,10,2019
5,VET,vettel,ferrari,16.0,British Grand Prix,10,2019
11,PER,perez,racing_point,17.0,British Grand Prix,10,2019
99,GIO,giovinazzi,alfa,18.0,British Grand Prix,10,2019
8,GRO,grosjean,haas,19.0,British Grand Prix,10,2019
20,MAG,kevin_magnussen,haas,20.0,British Grand Prix,10,2019
33,VER,max_verstappen,red_bull,1.0,German Grand Prix,11,2019
5,VET,vettel,ferrari,2.0,German Grand Prix,11,2019
26,KVY,kvyat,toro_rosso,3.0,German Grand Prix,11,2019
18,STR,stroll,racing_point,4.0,German Grand Prix,11,2019
55,SAI,sainz,mclaren,5.0,German Grand Prix,11,2019
23,ALB,albon,toro_rosso,6.0,German Grand Prix,11,2019
8,GRO,grosjean,haas,7.0,German Grand Prix,11,2019
20,MAG,kevin_magnussen,haas,8.0,German Grand Prix,11,2019
44,HAM,hamilton,mercedes,9.0,German Grand Prix,11,2019
88,KUB,kubica,williams,10.0,German Grand Prix,11,2019
63,RUS,russell,williams,11.0,German Grand Prix,11,2019
7,RAI,raikkonen,alfa,12.0,German Grand Prix,11,2019
99,GIO,giovinazzi,alfa,13.0,German Grand Prix,11,2019
10,GAS,gasly,red_bull,14.0,German Grand Prix,11,2019
77,BOT,bottas,mercedes,15.0,German Grand Prix,11,2019
27,HUL,hulkenberg,renault,16.0,German Grand Prix,11,2019
16,LEC,leclerc,ferrari,17.0,German Grand Prix,11,2019
4,NOR,norris,mclaren,18.0,German Grand Prix,11,2019
3,RIC,ricciardo,renault,19.0,German Grand Prix,11,2019
11,PER,perez,racing_point,20.0,German Grand Prix,11,2019
44,HAM,hamilton,mercedes,1.0,Hungarian Grand Prix,12,2019
33,VER,max_verstappen,red_bull,2.0,Hungarian Grand Prix,12,2019
5,VET,vettel,ferrari,3.0,Hungarian Grand Prix,12,2019
16,LEC,leclerc,ferrari,4.0,Hungarian Grand Prix,12,2019
55,SAI,sainz,mclaren,5.0,Hungarian Grand Prix,12,2019
10,GAS,gasly,red_bull,6.0,Hungarian Grand Prix,12,2019
7,RAI,raikkonen,alfa,7.0,Hungarian Grand Prix,12,2019
77,BOT,bottas,mercedes,8.0,Hungarian Grand Prix,12,2019
4,NOR,norris,mclaren,9.0,Hungarian Grand Prix,12,2019
23,ALB,albon,toro_rosso,10.0,Hungarian Grand Prix,12,2019
11,PER,perez,racing_point,11.0,Hungarian Grand Prix,12,2019
27,HUL,hulkenberg,renault,12.0,Hungarian Grand Prix,12,2019
20,MAG,kevin_magnussen,haas,13.0,Hungarian Grand Prix,12,2019
3,RIC,ricciardo,renault,14.0,Hungarian Grand Prix,12,2019
26,KVY,kvyat,toro_rosso,15.0,Hungarian Grand Prix,12,2019
63,RUS,russell,williams,16.0,Hungarian Grand Prix,12,2019
18,STR,stroll,racing_point,17.0,Hungarian Grand Prix,12,2019
99,GIO,giovinazzi,alfa,18.0,Hungarian Grand Prix,12,2019
88,KUB,kubica,williams,19.0,Hungarian Grand Prix,12,2019
8,GRO,grosjean,haas,20.0,Hungarian Grand Prix,12,2019
16,LEC,leclerc,ferrari,1.0,Belgian Grand Prix,13,2019
44,HAM,hamilton,mercedes,2.0,Belgian Grand Prix,13,2019
77,BOT,bottas,mercedes,3.0,Belgian Grand Prix,13,2019
5,VET,vettel,ferrari,4.0,Belgian Grand Prix,13,2019
23,ALB,albon,red_bull,5.0,Belgian Grand Prix,13,2019
11,PER,perez,racing_point,6.0,Belgian Grand Prix,13,2019
26,KVY,kvyat,toro_rosso,7.0,Belgian Grand Prix,13,2019
