DriverId,TeamId,Position,Season,Engine2020,Engine2021,Engine2022,Engine2023,Engine2024,Rating
giovinazzi,sauber,10.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,73.0
latifi,williams,11.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,64.0
vettel,ferrari,12.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,89.0
stroll,aston_martin,13.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,78.0
grosjean,haas,14.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,80.0
albon,red_bull,15.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,79.0
russell,williams,16.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,75.0
max_verstappen,red_bull,17.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,90.0
kevin_magnussen,haas,18.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,78.0
ocon,alpine,19.0,2020,renault,renault,renault,renault,renault,80.0
gasly,rb,20.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
hamilton,mercedes,1.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,94.0
perez,aston_martin,2.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,85.0
vettel,ferrari,3.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,89.0
leclerc,ferrari,4.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,86.0
sainz,mclaren,5.0,2020,renault,mercedes,mercedes,mercedes,mercedes,82.0
max_verstappen,red_bull,6.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,90.0
albon,red_bull,7.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,79.0
norris,mclaren,8.0,2020,renault,mercedes,mercedes,mercedes,mercedes,79.0
stroll,aston_martin,9.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,78.0
ricciardo,alpine,10.0,2020,renault,renault,renault,renault,renault,87.0
ocon,alpine,11.0,2020,renault,renault,renault,renault,renault,80.0
kvyat,rb,12.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
gasly,rb,13.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
bottas,mercedes,14.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,90.0
raikkonen,sauber,15.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,87.0
